"Time","Keysight 34420A Bridge_voltage","Well PT100 DUT_Temperature"
2025-08-06 22:35:02,1000.2387755,
2025-08-06 22:36:00,,22.9736328
2025-08-06 22:36:13,1000.2389109,
2025-08-06 22:37:00,,22.9687500
2025-08-06 22:37:23,1000.2393479,
2025-08-06 22:38:00,,23.0117188
2025-08-06 22:38:34,1000.2398367,
2025-08-06 22:39:00,,23.0390625
2025-08-06 22:39:45,1000.2403747,
2025-08-06 22:40:00,,23.0537109
2025-08-06 22:40:55,1000.2407422,
2025-08-06 22:41:00,,23.0566406
2025-08-06 22:42:06,1000.2409597,
2025-08-06 22:43:00,,23.0615234
2025-08-06 22:43:17,1000.2410434,
2025-08-06 22:44:00,,23.0664063
2025-08-06 22:44:27,1000.2409981,
2025-08-06 22:45:00,,23.0693359
2025-08-06 22:45:37,1000.2408279,
2025-08-06 22:46:00,,23.0664063
2025-08-06 22:46:48,1000.2405809,
2025-08-06 22:47:00,,23.0644531
2025-08-06 22:47:58,1000.2402842,
2025-08-06 22:48:00,,23.0537109
2025-08-06 22:49:09,1000.2400886,
2025-08-06 22:50:00,,23.0419922
2025-08-06 22:50:20,1000.2398726,
2025-08-06 22:51:00,,23.0244141
2025-08-06 22:51:30,1000.2396666,
2025-08-06 22:52:00,,23.0087891
2025-08-06 22:52:41,1000.2395111,
2025-08-06 22:53:00,,22.9941406
2025-08-06 22:53:52,1000.2394443,
2025-08-06 22:54:00,,22.9833984
2025-08-06 22:55:02,1000.2396287,
2025-08-06 22:56:00,,22.9814453
2025-08-06 22:56:13,1000.2399461,
2025-08-06 22:57:00,,23.0087891
2025-08-06 22:57:23,1000.2404155,
2025-08-06 22:58:00,,23.0468750
2025-08-06 22:58:34,1000.2408366,
2025-08-06 22:59:00,,23.0537109
2025-08-06 22:59:45,1000.2411477,
2025-08-06 23:00:00,,23.0566406
2025-08-06 23:00:55,1000.2412993,
2025-08-06 23:01:00,,23.0615234
2025-08-06 23:02:05,1000.2413028,
2025-08-06 23:03:00,,23.0644531
2025-08-06 23:03:16,1000.2411999,
2025-08-06 23:04:00,,23.0644531
2025-08-06 23:04:27,1000.2410236,
2025-08-06 23:05:00,,23.0644531
2025-08-06 23:05:37,1000.2408409,
2025-08-06 23:06:00,,23.0566406
2025-08-06 23:06:48,1000.2406871,
2025-08-06 23:07:00,,23.0488281
2025-08-06 23:07:58,1000.2405666,
2025-08-06 23:08:00,,23.0341797
2025-08-06 23:09:08,1000.2404988,
2025-08-06 23:10:00,,23.0214844
2025-08-06 23:10:19,1000.2402951,
2025-08-06 23:11:00,,23.0039063
2025-08-06 23:11:30,1000.2401561,
2025-08-06 23:12:00,,22.9941406
