"Time","Keysight 34420A Bridge_voltage","Well PT100 DUT_Temperature"
2025-08-06 23:12:40,1000.2401649,
2025-08-06 23:13:00,,22.9833984
2025-08-06 23:13:51,1000.2403470,
2025-08-06 23:14:00,,22.9833984
2025-08-06 23:15:02,1000.2407367,
2025-08-06 23:16:00,,23.0185547
2025-08-06 23:16:12,1000.2411235,
2025-08-06 23:17:00,,23.0468750
2025-08-06 23:17:23,1000.2414464,
2025-08-06 23:18:00,,23.0488281
2025-08-06 23:18:34,1000.2416993,
2025-08-06 23:19:00,,23.0537109
2025-08-06 23:19:44,1000.2418028,
2025-08-06 23:20:00,,23.0595703
2025-08-06 23:20:55,1000.2418172,
2025-08-06 23:21:00,,23.0615234
2025-08-06 23:22:05,1000.2417393,
2025-08-06 23:23:00,,23.0644531
2025-08-06 23:23:16,1000.2415827,
2025-08-06 23:24:00,,23.0615234
2025-08-06 23:24:26,1000.2414112,
2025-08-06 23:25:00,,23.0566406
2025-08-06 23:25:36,1000.2412302,
2025-08-06 23:26:00,,23.0488281
2025-08-06 23:26:47,1000.2410035,
2025-08-06 23:27:00,,23.0341797
2025-08-06 23:27:58,1000.2408288,
2025-08-06 23:28:00,,23.0214844
2025-08-06 23:29:08,1000.2405833,
2025-08-06 23:30:00,,23.0058594
2025-08-06 23:30:19,1000.2404075,
2025-08-06 23:31:00,,22.9941406
2025-08-06 23:31:30,1000.2403749,
2025-08-06 23:32:00,,22.9833984
2025-08-06 23:32:40,1000.2405633,
2025-08-06 23:33:00,,22.9833984
2025-08-06 23:33:51,1000.2409447,
2025-08-06 23:34:00,,23.0166016
2025-08-06 23:35:02,1000.2413069,
2025-08-06 23:36:00,,23.0439453
2025-08-06 23:36:13,1000.2416317,
2025-08-06 23:37:00,,23.0488281
2025-08-06 23:37:23,1000.2418522,
2025-08-06 23:38:00,,23.0537109
2025-08-06 23:38:34,1000.2421112,
2025-08-06 23:39:00,,23.0566406
2025-08-06 23:39:44,1000.2421368,
2025-08-06 23:40:00,,23.0595703
2025-08-06 23:40:55,1000.2421055,
2025-08-06 23:41:00,,23.0644531
2025-08-06 23:42:05,1000.2420547,
2025-08-06 23:43:00,,23.0644531
2025-08-06 23:43:16,1000.2419025,
2025-08-06 23:44:00,,23.0595703
2025-08-06 23:44:26,1000.2416592,
2025-08-06 23:45:00,,23.0517578
2025-08-06 23:45:37,1000.2413861,
2025-08-06 23:46:00,,23.0390625
2025-08-06 23:46:47,1000.2412038,
2025-08-06 23:47:00,,23.0244141
2025-08-06 23:47:58,1000.2414916,
2025-08-06 23:48:00,,23.0117188
2025-08-06 23:49:09,1000.2412156,
2025-08-06 23:50:00,,22.9960938
2025-08-06 23:50:19,1000.2411305,
2025-08-06 23:51:00,,22.9863281
2025-08-06 23:51:30,1000.2412423,
2025-08-06 23:52:00,,22.9833984
2025-08-06 23:52:40,1000.2415882,
2025-08-06 23:53:00,,23.0039063
2025-08-06 23:53:51,1000.2419744,
2025-08-06 23:54:00,,23.0361328
2025-08-06 23:55:02,1000.2422133,
2025-08-06 23:56:00,,23.0488281
2025-08-06 23:56:12,1000.2424406,
2025-08-06 23:57:00,,23.0517578
2025-08-06 23:57:23,1000.2425944,
2025-08-06 23:58:00,,23.0566406
2025-08-06 23:58:33,1000.2426537,
2025-08-06 23:59:00,,23.0595703
2025-08-06 23:59:44,1000.2426201,
2025-08-07 00:00:00,,23.0615234
2025-08-07 00:00:54,1000.2425304,
2025-08-07 00:01:00,,23.0644531
2025-08-07 00:02:05,1000.2423781,
2025-08-07 00:03:00,,23.0595703
2025-08-07 00:03:15,1000.2420970,
2025-08-07 00:04:00,,23.0517578
2025-08-07 00:04:26,1000.2417938,
2025-08-07 00:05:00,,23.0419922
2025-08-07 00:05:37,1000.2414964,
2025-08-07 00:06:00,,23.0263672
2025-08-07 00:06:47,1000.2412667,
2025-08-07 00:07:00,,23.0117188
2025-08-07 00:07:58,1000.2410563,
2025-08-07 00:08:00,,22.9990234
2025-08-07 00:09:08,1000.2409780,
2025-08-07 00:10:00,,22.9882813
2025-08-07 00:10:19,1000.2410610,
2025-08-07 00:11:00,,22.9814453
2025-08-07 00:11:30,1000.2414074,
2025-08-07 00:12:00,,23.0087891
2025-08-07 00:12:40,1000.2418936,
2025-08-07 00:13:00,,23.0595703
2025-08-07 00:13:50,1000.2422133,
2025-08-07 00:14:00,,23.0742188
2025-08-07 00:15:01,1000.2425003,
2025-08-07 00:16:00,,23.0742188
2025-08-07 00:16:11,1000.2427051,
2025-08-07 00:17:00,,23.0771484
2025-08-07 00:17:21,1000.2428444,
2025-08-07 00:18:00,,23.0791016
2025-08-07 00:18:32,1000.2429034,
2025-08-07 00:19:00,,23.0820313
2025-08-07 00:19:42,1000.2429598,
2025-08-07 00:20:00,,23.0869141
2025-08-07 00:20:53,1000.2430142,
2025-08-07 00:21:00,,23.0898438
2025-08-07 00:22:03,1000.2430452,
2025-08-07 00:23:00,,23.0917969
2025-08-07 00:23:14,1000.2430892,
2025-08-07 00:24:00,,23.0947266
2025-08-07 00:24:25,1000.2431458,
2025-08-07 00:25:00,,23.0966797
2025-08-07 00:25:36,1000.2432348,
2025-08-07 00:26:00,,23.0996094
2025-08-07 00:26:46,1000.2433174,
2025-08-07 00:27:00,,23.1044922
2025-08-07 00:27:57,1000.2434514,
2025-08-07 00:28:00,,23.1093750
2025-08-07 00:29:07,1000.2436259,
2025-08-07 00:30:00,,23.1142578
2025-08-07 00:30:18,1000.2438641,
2025-08-07 00:31:00,,23.1220703
2025-08-07 00:31:29,1000.2440918,
2025-08-07 00:32:00,,23.1298828
2025-08-07 00:32:39,1000.2443321,
2025-08-07 00:33:00,,23.1425781
2025-08-07 00:33:49,1000.2445471,
2025-08-07 00:34:00,,23.1523438
2025-08-07 00:35:00,1000.2447250,
2025-08-07 00:36:00,,23.1621094
2025-08-07 00:36:10,1000.2448809,
2025-08-07 00:37:00,,23.1748047
2025-08-07 00:37:21,1000.2449915,
2025-08-07 00:38:00,,23.1855469
2025-08-07 00:38:32,1000.2450564,
2025-08-07 00:39:00,,23.1923828
2025-08-07 00:39:42,1000.2451010,
2025-08-07 00:40:00,,23.2031250
2025-08-07 00:40:53,1000.2451255,
2025-08-07 00:41:00,,23.2099609
2025-08-07 00:42:04,1000.2451604,
2025-08-07 00:43:00,,23.2128906
2025-08-07 00:43:15,1000.2452269,
2025-08-07 00:44:00,,23.2158203
2025-08-07 00:44:25,1000.2452801,
2025-08-07 00:45:00,,23.2158203
2025-08-07 00:45:36,1000.2460168,
2025-08-07 00:46:00,,23.2128906
2025-08-07 00:46:47,1000.2457582,
2025-08-07 00:47:00,,23.2080078
2025-08-07 00:47:57,1000.2455315,
2025-08-07 00:48:00,,23.2031250
2025-08-07 00:49:08,1000.2453814,
2025-08-07 00:50:00,,23.2001953
2025-08-07 00:50:18,1000.2453815,
2025-08-07 00:51:00,,23.1982422
2025-08-07 00:51:29,1000.2455654,
2025-08-07 00:52:00,,23.2031250
2025-08-07 00:52:39,1000.2458877,
2025-08-07 00:53:00,,23.2333984
2025-08-07 00:53:50,1000.2461991,
2025-08-07 00:54:00,,23.2636719
2025-08-07 00:55:00,1000.2464621,
2025-08-07 00:56:00,,23.2705078
2025-08-07 00:56:11,1000.2466800,
2025-08-07 00:57:00,,23.2734375
2025-08-07 00:57:22,1000.2468198,
2025-08-07 00:58:00,,23.2783203
2025-08-07 00:58:33,1000.2468824,
2025-08-07 00:59:00,,23.2812500
2025-08-07 00:59:44,1000.2469180,
2025-08-07 01:00:00,,23.2861328
2025-08-07 01:00:54,1000.2469551,
2025-08-07 01:01:00,,23.2910156
2025-08-07 01:02:04,1000.2469819,
2025-08-07 01:03:00,,23.2939453
2025-08-07 01:03:15,1000.2469917,
2025-08-07 01:04:00,,23.2958984
2025-08-07 01:04:26,1000.2470106,
2025-08-07 01:05:00,,23.2988281
2025-08-07 01:05:37,1000.2470125,
2025-08-07 01:06:00,,23.3007813
2025-08-07 01:06:47,1000.2470693,
2025-08-07 01:07:00,,23.3037109
2025-08-07 01:07:58,1000.2471156,
2025-08-07 01:08:00,,23.3056641
2025-08-07 01:09:09,1000.2472215,
2025-08-07 01:10:00,,23.3085938
2025-08-07 01:10:19,1000.2473506,
2025-08-07 01:11:00,,23.3134766
2025-08-07 01:11:29,1000.2475554,
2025-08-07 01:12:00,,23.3212891
2025-08-07 01:12:40,1000.2477709,
2025-08-07 01:13:00,,23.3310547
2025-08-07 01:13:50,1000.2480191,
2025-08-07 01:14:00,,23.3417969
2025-08-07 01:15:01,1000.2482699,
2025-08-07 01:16:00,,23.3535156
2025-08-07 01:16:12,1000.2484772,
2025-08-07 01:17:00,,23.3642578
2025-08-07 01:17:23,1000.2486193,
2025-08-07 01:18:00,,23.3740234
2025-08-07 01:18:33,1000.2487406,
2025-08-07 01:19:00,,23.3837891
2025-08-07 01:19:43,1000.2488159,
2025-08-07 01:20:00,,23.3945313
2025-08-07 01:20:54,1000.2488544,
2025-08-07 01:21:00,,23.4013672
2025-08-07 01:22:05,1000.2488945,
2025-08-07 01:23:00,,23.4091797
2025-08-07 01:23:16,1000.2490649,
2025-08-07 01:24:00,,23.4169922
2025-08-07 01:24:27,1000.2497630,
2025-08-07 01:25:00,,23.4189453
2025-08-07 01:25:37,1000.2496403,
2025-08-07 01:26:00,,23.4189453
2025-08-07 01:26:48,1000.2495938,
2025-08-07 01:27:00,,23.4189453
2025-08-07 01:27:58,1000.2494507,
2025-08-07 01:28:00,,23.4169922
2025-08-07 01:29:09,1000.2492849,
2025-08-07 01:30:00,,23.4121094
2025-08-07 01:30:19,1000.2491188,
2025-08-07 01:31:00,,23.4072266
2025-08-07 01:31:30,1000.2490334,
2025-08-07 01:32:00,,23.4072266
2025-08-07 01:32:40,1000.2491064,
2025-08-07 01:33:00,,23.4042969
2025-08-07 01:33:50,1000.2493589,
2025-08-07 01:34:00,,23.4248047
2025-08-07 01:35:01,1000.2497127,
2025-08-07 01:36:00,,23.4599609
2025-08-07 01:36:12,1000.2499487,
2025-08-07 01:37:00,,23.4775391
2025-08-07 01:37:22,1000.2501478,
2025-08-07 01:38:00,,23.4775391
2025-08-07 01:38:33,1000.2502673,
2025-08-07 01:39:00,,23.4794922
2025-08-07 01:39:44,1000.2503633,
2025-08-07 01:40:00,,23.4824219
2025-08-07 01:40:54,1000.2504294,
2025-08-07 01:41:00,,23.4853516
2025-08-07 01:42:04,1000.2504733,
2025-08-07 01:43:00,,23.4873047
2025-08-07 01:43:15,1000.2504987,
2025-08-07 01:44:00,,23.4902344
2025-08-07 01:44:26,1000.2505190,
2025-08-07 01:45:00,,23.4921875
2025-08-07 01:45:36,1000.2505527,
2025-08-07 01:46:00,,23.4951172
2025-08-07 01:46:47,1000.2506095,
2025-08-07 01:47:00,,23.4970703
2025-08-07 01:47:58,1000.2507122,
2025-08-07 01:48:00,,23.5029297
2025-08-07 01:49:08,1000.2508344,
2025-08-07 01:50:00,,23.5078125
2025-08-07 01:50:19,1000.2510192,
2025-08-07 01:51:00,,23.5126953
2025-08-07 01:51:29,1000.2512145,
2025-08-07 01:52:00,,23.5224609
2025-08-07 01:52:40,1000.2514470,
2025-08-07 01:53:00,,23.5302734
2025-08-07 01:53:50,1000.2516464,
2025-08-07 01:54:00,,23.5429688
2025-08-07 01:55:01,1000.2518562,
2025-08-07 01:56:00,,23.5527344
2025-08-07 01:56:12,1000.2520173,
2025-08-07 01:57:00,,23.5605469
2025-08-07 01:57:22,1000.2521300,
2025-08-07 01:58:00,,23.5703125
2025-08-07 01:58:33,1000.2522119,
2025-08-07 01:59:00,,23.5810547
2025-08-07 01:59:44,1000.2522597,
2025-08-07 02:00:00,,23.5878906
2025-08-07 02:00:54,1000.2523386,
2025-08-07 02:01:00,,23.5986328
2025-08-07 02:02:05,1000.2524281,
2025-08-07 02:03:00,,23.6035156
2025-08-07 02:03:16,1000.2525426,
2025-08-07 02:04:00,,23.6083984
2025-08-07 02:04:26,1000.2533267,
2025-08-07 02:05:00,,23.6113281
2025-08-07 02:05:36,1000.2532801,
2025-08-07 02:06:00,,23.6132813
2025-08-07 02:06:47,1000.2531321,
2025-08-07 02:07:00,,23.6113281
2025-08-07 02:07:58,1000.2529491,
2025-08-07 02:08:00,,23.6083984
2025-08-07 02:09:08,1000.2528329,
2025-08-07 02:10:00,,23.6054688
2025-08-07 02:10:19,1000.2526842,
2025-08-07 02:11:00,,23.6054688
2025-08-07 02:11:30,1000.2526193,
2025-08-07 02:12:00,,23.6035156
2025-08-07 02:12:40,1000.2527204,
2025-08-07 02:13:00,,23.6035156
2025-08-07 02:13:51,1000.2529876,
2025-08-07 02:14:00,,23.6308594
2025-08-07 02:15:01,1000.2533121,
2025-08-07 02:16:00,,23.6591797
2025-08-07 02:16:12,1000.2535463,
2025-08-07 02:17:00,,23.6689453
2025-08-07 02:17:22,1000.2537131,
2025-08-07 02:18:00,,23.6708984
2025-08-07 02:18:33,1000.2538275,
2025-08-07 02:19:00,,23.6708984
2025-08-07 02:19:44,1000.2538931,
2025-08-07 02:20:00,,23.6767578
2025-08-07 02:20:54,1000.2539448,
2025-08-07 02:21:00,,23.6787109
2025-08-07 02:22:05,1000.2539608,
2025-08-07 02:23:00,,23.6787109
2025-08-07 02:23:16,1000.2539772,
2025-08-07 02:24:00,,23.6835938
2025-08-07 02:24:26,1000.2540160,
2025-08-07 02:25:00,,23.6865234
2025-08-07 02:25:37,1000.2540811,
2025-08-07 02:26:00,,23.6884766
2025-08-07 02:26:48,1000.2541640,
2025-08-07 02:27:00,,23.6943359
2025-08-07 02:27:58,1000.2543415,
2025-08-07 02:28:00,,23.6962891
2025-08-07 02:29:09,1000.2545379,
2025-08-07 02:30:00,,23.7041016
2025-08-07 02:30:20,1000.2547168,
2025-08-07 02:31:00,,23.7138672
2025-08-07 02:31:30,1000.2549246,
2025-08-07 02:32:00,,23.7246094
2025-08-07 02:32:41,1000.2551164,
2025-08-07 02:33:00,,23.7343750
2025-08-07 02:33:52,1000.2552822,
2025-08-07 02:34:00,,23.7470703
2025-08-07 02:35:02,1000.2554142,
2025-08-07 02:36:00,,23.7548828
2025-08-07 02:36:12,1000.2554974,
2025-08-07 02:37:00,,23.7617188
2025-08-07 02:37:23,1000.2555684,
2025-08-07 02:38:00,,23.7695313
2025-08-07 02:38:34,1000.2556598,
2025-08-07 02:39:00,,23.7773438
2025-08-07 02:39:44,1000.2558249,
2025-08-07 02:40:00,,23.7851563
2025-08-07 02:40:55,1000.2566401,
2025-08-07 02:41:00,,23.7900391
2025-08-07 02:42:05,1000.2564249,
2025-08-07 02:43:00,,23.7919922
2025-08-07 02:43:16,1000.2562960,
2025-08-07 02:44:00,,23.7949219
2025-08-07 02:44:26,1000.2562933,
2025-08-07 02:45:00,,23.7968750
2025-08-07 02:45:36,1000.2561889,
2025-08-07 02:46:00,,23.7968750
2025-08-07 02:46:47,1000.2560660,
2025-08-07 02:47:00,,23.7968750
2025-08-07 02:47:58,1000.2559649,
2025-08-07 02:48:00,,23.7968750
2025-08-07 02:49:08,1000.2558744,
2025-08-07 02:50:00,,23.7968750
2025-08-07 02:50:19,1000.2559170,
2025-08-07 02:51:00,,23.7998047
2025-08-07 02:51:30,1000.2560894,
2025-08-07 02:52:00,,23.8076172
2025-08-07 02:52:40,1000.2563478,
2025-08-07 02:53:00,,23.8251953
2025-08-07 02:53:51,1000.2566038,
2025-08-07 02:54:00,,23.8427734
2025-08-07 02:55:01,1000.2568402,
2025-08-07 02:56:00,,23.8554688
2025-08-07 02:56:12,1000.2570028,
2025-08-07 02:57:00,,23.8603516
2025-08-07 02:57:22,1000.2571073,
2025-08-07 02:58:00,,23.8623047
2025-08-07 02:58:33,1000.2571725,
2025-08-07 02:59:00,,23.8681641
2025-08-07 02:59:43,1000.2572009,
2025-08-07 03:00:00,,23.8730469
2025-08-07 03:00:54,1000.2572356,
2025-08-07 03:01:00,,23.8750000
2025-08-07 03:02:05,1000.2572464,
2025-08-07 03:03:00,,23.8808594
2025-08-07 03:03:15,1000.2572748,
2025-08-07 03:04:00,,23.8828125
2025-08-07 03:04:26,1000.2573752,
2025-08-07 03:05:00,,23.8876953
2025-08-07 03:05:37,1000.2579782,
2025-08-07 03:06:00,,23.8876953
2025-08-07 03:06:47,1000.2578927,
2025-08-07 03:07:00,,23.8925781
2025-08-07 03:07:58,1000.2578850,
2025-08-07 03:08:00,,23.8955078
2025-08-07 03:09:08,1000.2579794,
2025-08-07 03:10:00,,23.9003906
2025-08-07 03:10:19,1000.2580974,
2025-08-07 03:11:00,,23.9101563
2025-08-07 03:11:29,1000.2582632,
2025-08-07 03:12:00,,23.9179688
2025-08-07 03:12:40,1000.2584296,
2025-08-07 03:13:00,,23.9306641
2025-08-07 03:13:51,1000.2585641,
2025-08-07 03:14:00,,23.9404297
2025-08-07 03:15:02,1000.2587132,
2025-08-07 03:16:00,,23.9482422
2025-08-07 03:16:13,1000.2588085,
2025-08-07 03:17:00,,23.9531250
2025-08-07 03:17:23,1000.2588753,
2025-08-07 03:18:00,,23.9609375
2025-08-07 03:18:34,1000.2589306,
2025-08-07 03:19:00,,23.9687500
2025-08-07 03:19:45,1000.2598472,
2025-08-07 03:20:00,,23.9736328
2025-08-07 03:20:55,1000.2595798,
2025-08-07 03:21:00,,23.9814453
2025-08-07 03:22:06,1000.2595469,
2025-08-07 03:23:00,,23.9833984
2025-08-07 03:23:17,1000.2595678,
2025-08-07 03:24:00,,23.9863281
2025-08-07 03:24:27,1000.2595013,
2025-08-07 03:25:00,,23.9912109
2025-08-07 03:25:37,1000.2594852,
2025-08-07 03:26:00,,23.9941406
2025-08-07 03:26:48,1000.2594752,
2025-08-07 03:27:00,,23.9960938
2025-08-07 03:27:59,1000.2594777,
2025-08-07 03:28:00,,23.9990234
2025-08-07 03:29:09,1000.2594401,
2025-08-07 03:30:00,,24.0009766
2025-08-07 03:30:20,1000.2594430,
2025-08-07 03:31:00,,24.0039063
2025-08-07 03:31:31,1000.2595415,
2025-08-07 03:32:00,,24.0087891
2025-08-07 03:32:41,1000.2596749,
2025-08-07 03:33:00,,24.0185547
2025-08-07 03:33:52,1000.2598671,
2025-08-07 03:34:00,,24.0361328
2025-08-07 03:35:02,1000.2600649,
2025-08-07 03:36:00,,24.0517578
2025-08-07 03:36:13,1000.2602184,
2025-08-07 03:37:00,,24.0595703
2025-08-07 03:37:23,1000.2602946,
2025-08-07 03:38:00,,24.0644531
2025-08-07 03:38:34,1000.2603449,
2025-08-07 03:39:00,,24.0664063
2025-08-07 03:39:44,1000.2603567,
2025-08-07 03:40:00,,24.0722656
2025-08-07 03:40:55,1000.2605070,
2025-08-07 03:41:00,,24.0742188
2025-08-07 03:42:05,1000.2609173,
2025-08-07 03:43:00,,24.0771484
2025-08-07 03:43:16,1000.2608287,
2025-08-07 03:44:00,,24.0791016
2025-08-07 03:44:26,1000.2607293,
2025-08-07 03:45:00,,24.0820313
2025-08-07 03:45:37,1000.2606257,
2025-08-07 03:46:00,,24.0839844
2025-08-07 03:46:47,1000.2605968,
2025-08-07 03:47:00,,24.0869141
2025-08-07 03:47:58,1000.2606359,
2025-08-07 03:48:00,,24.0898438
2025-08-07 03:49:09,1000.2607428,
2025-08-07 03:50:00,,24.0966797
2025-08-07 03:50:20,1000.2608959,
2025-08-07 03:51:00,,24.1142578
2025-08-07 03:51:30,1000.2611227,
2025-08-07 03:52:00,,24.1318359
2025-08-07 03:52:41,1000.2612834,
2025-08-07 03:53:00,,24.1425781
2025-08-07 03:53:52,1000.2613609,
2025-08-07 03:54:00,,24.1445313
2025-08-07 03:55:02,1000.2613891,
2025-08-07 03:56:00,,24.1503906
2025-08-07 03:56:12,1000.2614525,
2025-08-07 03:57:00,,24.1523438
2025-08-07 03:57:23,1000.2620387,
2025-08-07 03:58:00,,24.1552734
2025-08-07 03:58:34,1000.2619522,
2025-08-07 03:59:00,,24.1552734
2025-08-07 03:59:44,1000.2618323,
2025-08-07 04:00:00,,24.1572266
2025-08-07 04:00:55,1000.2617566,
2025-08-07 04:01:00,,24.1601563
2025-08-07 04:02:06,1000.2616991,
2025-08-07 04:03:00,,24.1621094
2025-08-07 04:03:16,1000.2616849,
2025-08-07 04:04:00,,24.1650391
2025-08-07 04:04:27,1000.2617694,
2025-08-07 04:05:00,,24.1728516
2025-08-07 04:05:37,1000.2618976,
2025-08-07 04:06:00,,24.1875000
2025-08-07 04:06:48,1000.2621082,
2025-08-07 04:07:00,,24.2050781
2025-08-07 04:07:59,1000.2622567,
2025-08-07 04:08:00,,24.2177734
2025-08-07 04:09:09,1000.2623480,
2025-08-07 04:10:00,,24.2177734
2025-08-07 04:10:20,1000.2624120,
2025-08-07 04:11:00,,24.2226563
2025-08-07 04:11:31,1000.2624514,
2025-08-07 04:12:00,,24.2255859
2025-08-07 04:12:42,1000.2630884,
2025-08-07 04:13:00,,24.2285156
2025-08-07 04:13:52,1000.2630117,
2025-08-07 04:14:00,,24.2304688
2025-08-07 04:15:03,1000.2629455,
2025-08-07 04:16:00,,24.2304688
2025-08-07 04:16:13,1000.2628687,
2025-08-07 04:17:00,,24.2333984
2025-08-07 04:17:24,1000.2628188,
2025-08-07 04:18:00,,24.2353516
2025-08-07 04:18:35,1000.2628714,
2025-08-07 04:19:00,,24.2402344
2025-08-07 04:19:46,1000.2629769,
2025-08-07 04:20:00,,24.2529297
2025-08-07 04:20:56,1000.2631523,
2025-08-07 04:21:00,,24.2734375
2025-08-07 04:22:06,1000.2633233,
2025-08-07 04:23:00,,24.2880859
2025-08-07 04:23:17,1000.2634094,
2025-08-07 04:24:00,,24.2910156
2025-08-07 04:24:28,1000.2634455,
2025-08-07 04:25:00,,24.2939453
2025-08-07 04:25:38,1000.2635863,
2025-08-07 04:26:00,,24.2958984
2025-08-07 04:26:49,1000.2641610,
2025-08-07 04:27:00,,24.2988281
2025-08-07 04:27:59,1000.2640783,
2025-08-07 04:28:00,,24.2988281
2025-08-07 04:29:10,1000.2639134,
2025-08-07 04:30:00,,24.2988281
2025-08-07 04:30:20,1000.2637980,
2025-08-07 04:31:00,,24.3007813
2025-08-07 04:31:31,1000.2637402,
2025-08-07 04:32:00,,24.3007813
2025-08-07 04:32:41,1000.2637954,
2025-08-07 04:33:00,,24.3115234
2025-08-07 04:33:51,1000.2639328,
2025-08-07 04:34:00,,24.3310547
2025-08-07 04:35:02,1000.2641012,
2025-08-07 04:36:00,,24.3466797
2025-08-07 04:36:13,1000.2642401,
2025-08-07 04:37:00,,24.3564453
2025-08-07 04:37:23,1000.2642843,
2025-08-07 04:38:00,,24.3593750
2025-08-07 04:38:34,1000.2643054,
2025-08-07 04:39:00,,24.3593750
2025-08-07 04:39:44,1000.2650371,
2025-08-07 04:40:00,,24.3593750
2025-08-07 04:40:55,1000.2648101,
2025-08-07 04:41:00,,24.3613281
2025-08-07 04:42:05,1000.2646950,
2025-08-07 04:43:00,,24.3613281
2025-08-07 04:43:16,1000.2646557,
2025-08-07 04:44:00,,24.3642578
2025-08-07 04:44:27,1000.2646674,
2025-08-07 04:45:00,,24.3691406
2025-08-07 04:45:37,1000.2647392,
2025-08-07 04:46:00,,24.3789063
2025-08-07 04:46:48,1000.2648769,
2025-08-07 04:47:00,,24.4013672
2025-08-07 04:47:59,1000.2650397,
2025-08-07 04:48:00,,24.4140625
2025-08-07 04:49:09,1000.2651249,
2025-08-07 04:50:00,,24.4199219
2025-08-07 04:50:20,1000.2651323,
2025-08-07 04:51:00,,24.4218750
2025-08-07 04:51:30,1000.2658580,
2025-08-07 04:52:00,,24.4218750
2025-08-07 04:52:41,1000.2657041,
2025-08-07 04:53:00,,24.4218750
2025-08-07 04:53:51,1000.2656518,
2025-08-07 04:54:00,,24.4218750
2025-08-07 04:55:01,1000.2655522,
2025-08-07 04:56:00,,24.4248047
2025-08-07 04:56:12,1000.2654285,
2025-08-07 04:57:00,,24.4267578
2025-08-07 04:57:23,1000.2654062,
2025-08-07 04:58:00,,24.4296875
2025-08-07 04:58:33,1000.2654998,
2025-08-07 04:59:00,,24.4521484
2025-08-07 04:59:44,1000.2656554,
2025-08-07 05:00:00,,24.4697266
2025-08-07 05:00:54,1000.2657748,
2025-08-07 05:01:00,,24.4794922
2025-08-07 05:02:05,1000.2658460,
2025-08-07 05:03:00,,24.4794922
2025-08-07 05:03:16,1000.2658429,
2025-08-07 05:04:00,,24.4824219
2025-08-07 05:04:26,1000.2664272,
2025-08-07 05:05:00,,24.4824219
2025-08-07 05:05:36,1000.2663158,
2025-08-07 05:06:00,,24.4824219
2025-08-07 05:06:47,1000.2663080,
2025-08-07 05:07:00,,24.4824219
2025-08-07 05:07:57,1000.2662587,
2025-08-07 05:08:00,,24.4824219
2025-08-07 05:09:07,1000.2662554,
2025-08-07 05:10:00,,24.4873047
2025-08-07 05:10:18,1000.2663402,
2025-08-07 05:11:00,,24.5078125
2025-08-07 05:11:29,1000.2665107,
2025-08-07 05:12:00,,24.5302734
2025-08-07 05:12:39,1000.2666494,
2025-08-07 05:13:00,,24.5380859
2025-08-07 05:13:50,1000.2666945,
