"Time","Keysight 34420A Bridge_voltage","Well PT100 DUT_Temperature"
2025-08-03 16:15:55,1000.1852678,
2025-08-03 16:16:00,,23.0312500
2025-08-03 16:17:06,1000.1852373,
2025-08-03 16:18:00,,23.0341797
2025-08-03 16:18:17,1000.1852037,
2025-08-03 16:19:28,1000.1851204,
2025-08-03 16:20:00,,23.0351563
2025-08-03 16:20:38,1000.1850021,
2025-08-03 16:21:49,1000.1848570,
2025-08-03 16:22:00,,23.0288086
2025-08-03 16:23:00,1000.1847055,
2025-08-03 16:24:00,,23.0185547
2025-08-03 16:24:10,1000.1845717,
2025-08-03 16:25:21,1000.1844492,
2025-08-03 16:26:00,,23.0039063
2025-08-03 16:26:31,1000.1844039,
2025-08-03 16:27:42,1000.1844413,
2025-08-03 16:28:00,,22.9848633
2025-08-03 16:28:52,1000.1845768,
2025-08-03 16:30:00,,22.9785156
2025-08-03 16:30:03,1000.1847584,
2025-08-03 16:31:13,1000.1849109,
2025-08-03 16:32:00,,23.0087891
2025-08-03 16:32:24,1000.1850372,
2025-08-03 16:33:34,1000.1850895,
2025-08-03 16:34:00,,23.0253906
2025-08-03 16:34:45,1000.1851327,
2025-08-03 16:35:56,1000.1851523,
2025-08-03 16:36:00,,23.0302734
2025-08-03 16:37:06,1000.1851306,
2025-08-03 16:38:00,,23.0341797
2025-08-03 16:38:17,1000.1850957,
2025-08-03 16:39:27,1000.1850204,
2025-08-03 16:40:00,,23.0351563
2025-08-03 16:40:37,1000.1849082,
2025-08-03 16:41:48,1000.1847835,
2025-08-03 16:42:00,,23.0278320
2025-08-03 16:42:58,1000.1846502,
2025-08-03 16:44:00,,23.0166016
2025-08-03 16:44:08,1000.1844903,
2025-08-03 16:45:19,1000.1843886,
2025-08-03 16:46:00,,23.0039063
2025-08-03 16:46:30,1000.1843254,
2025-08-03 16:47:40,1000.1843681,
2025-08-03 16:48:00,,22.9858398
2025-08-03 16:48:51,1000.1845310,
2025-08-03 16:50:00,,22.9833984
2025-08-03 16:50:01,1000.1846795,
2025-08-03 16:51:12,1000.1848371,
2025-08-03 16:52:00,,23.0087891
2025-08-03 16:52:23,1000.1849513,
2025-08-03 16:53:33,1000.1850472,
2025-08-03 16:54:00,,23.0268555
